# stage	status	check	command	max_seconds	cost_note
actions-disabled	DONE	actions-disabled-check	bootstrap actions-disabled-check	10	GitHub Actions workflows directory absent and disabled receipt present
native-cache	DONE	native-cache-check	bootstrap native-cache-check	10	second native compile hits content-hash rustc artifact cache
stage9-replay-seed	DONE	stage9-replay-check	bootstrap stage9-replay-check	20	bootstrap help stage-status run native-run ast manifest-check clean-process replay receipts
stage9-proof-matrix	DONE	stage9-proof-matrix-check	bootstrap stage9-proof-matrix-check	420	non-recursive proof commands replay in clean subprocesses
stage9-aggregate-replay	DONE	stage9-aggregate-replay-check	bootstrap stage9-aggregate-replay-check	420	proof-command aggregate clean-process replay without recursive check
stage10-session-seed	DONE	stage10-session-check	bootstrap stage10-session-check	20	deterministic clean-process run native-run ast stage-status session transcript
stage11-adapter-seed	DONE	stage11-adapter-check	bootstrap stage11-adapter-check	10	adapter schema held and fail-closed conflict policy seed
stage12-quarantine-seed	DONE	stage12-quarantine-check	bootstrap stage12-quarantine-check	10	quarantine no-auto-promotion and fail-closed policy seed
stage13-horizon-seed	DONE	stage13-horizon-check	bootstrap stage13-horizon-check	10	long-horizon stale degradation and boundary leak policy seed
stage14-cross-impl-seed	DONE	stage14-cross-impl-check	bootstrap stage14-cross-impl-check	10	cross-implementation export schema and conflict policy seed
stage15-evidence-seed	DONE	stage15-evidence-check	bootstrap stage15-evidence-check	10	open-world external evidence offline approval seed
stageN-extension-seed	DONE	stageN-extension-check	bootstrap stageN-extension-check	10	versioned constitutional extension policy seed
github-actions	DISABLED	actions-disabled	test ! -d ../.github/workflows	1	local verification only
stage9	DONE	stage9-aggregate-replay-check	bootstrap stage9-aggregate-replay-check	420	product matrix proof matrix and bounded proof aggregate replay checked
stage10-sandbox	DONE	stage10-sandbox-check	bootstrap stage10-sandbox-check	10	client server session sandbox closure policy receipt checked
stage10	DONE	stage10-sandbox-check	bootstrap stage10-sandbox-check	10	client server session sandbox replay closure checked locally
stage11-adapter-replay	DONE	stage11-adapter-replay-check	bootstrap stage11-adapter-replay-check	180	local rustc disabled and held adapter replay closure checked
stage11	DONE	stage11-adapter-replay-check	bootstrap stage11-adapter-replay-check	180	multi-domain adapter replay closure checked locally
stage12-quarantine-replay	DONE	stage12-quarantine-replay-check	bootstrap stage12-quarantine-replay-check	180	local gate candidate intake disabled actions and held promotion replay closure checked
stage12	DONE	stage12-quarantine-replay-check	bootstrap stage12-quarantine-replay-check	180	self-improvement quarantine no auto promotion closure checked locally
stage13-horizon-replay	DONE	stage13-horizon-replay-check	bootstrap stage13-horizon-replay-check	180	manifest session stale external memory organism and network horizon replay closure checked
stage13	DONE	stage13-horizon-replay-check	bootstrap stage13-horizon-replay-check	180	long-horizon organism no boundary leak and degrade-to-held closure checked locally
stage14-cross-impl-replay	DONE	stage14-cross-impl-replay-check	bootstrap stage14-cross-impl-replay-check	180	rs-meta rustc disabled and held cross-implementation replay closure checked
stage14	DONE	stage14-cross-impl-replay-check	bootstrap stage14-cross-impl-replay-check	180	cross-implementation comparison closure checked locally
stage15-evidence-replay	DONE	stage15-evidence-replay-check	bootstrap stage15-evidence-replay-check	240	local proof manifest disabled actions and external held evidence closure checked
stage15	DONE	stage15-evidence-replay-check	bootstrap stage15-evidence-replay-check	240	open-world evidence federation closure checked locally
stageN-extension-replay	DONE	stageN-extension-replay-check	bootstrap stageN-extension-replay-check	240	manifest index timeout cost stageN seed and held future extension replay closure checked
stageN	DONE	stageN-extension-replay-check	bootstrap stageN-extension-replay-check	240	versioned constitutional extension closure checked locally
